Date,Open,High,Low,Close,Adj Close,Volume,Ticker
06/07/2022,97.529999,98.190002,95.400002,96.080002,96.080002,8640200,DIS
07/07/2022,96.900002,97.529999,95.93,97.43,97.43,7813100,DIS
08/07/2022,96.57,97.120003,95.349998,95.860001,95.860001,7717300,DIS
11/07/2022,95,95.339996,93.43,93.639999,93.639999,7643700,DIS
12/07/2022,93.580002,95.25,93.309998,93.599998,93.599998,8665300,DIS
13/07/2022,92.120003,93.25,91.010002,92.940002,92.940002,12006400,DIS
14/07/2022,91.480003,92.040001,90.230003,91.839996,91.839996,11146400,DIS
15/07/2022,92.910004,95.32,92.699997,95.199997,95.199997,14946700,DIS
18/07/2022,96.360001,97.269997,95.309998,95.699997,95.699997,10430400,DIS
19/07/2022,96.68,99.849998,96.68,99.610001,99.610001,13683400,DIS
20/07/2022,100.25,104.260002,99.949997,103.349998,103.349998,15112700,DIS
21/07/2022,102.709999,104.25,101.610001,104.18,104.18,8611300,DIS
22/07/2022,103.279999,104.57,102.110001,102.720001,102.720001,7803500,DIS
25/07/2022,102.779999,103.389999,101.809998,102.690002,102.690002,6726700,DIS
26/07/2022,102.139999,102.360001,99.559998,99.779999,99.779999,6346600,DIS
27/07/2022,100.970001,103.650002,100.809998,103.5,103.5,9684800,DIS
28/07/2022,103.25,104.970001,102.709999,104.900002,104.900002,7970300,DIS
29/07/2022,105.139999,106.339996,103.370003,106.099998,106.099998,10320000,DIS
01/08/2022,104.870003,106.650002,103.860001,106.220001,106.220001,7769700,DIS
02/08/2022,105.739998,106.360001,104.620003,104.709999,104.709999,9093000,DIS
03/08/2022,105.730003,109.699997,105.730003,109.019997,109.019997,11243000,DIS
04/08/2022,108.919998,109.449997,107.660004,108.120003,108.120003,7322400,DIS
05/08/2022,106.809998,107.699997,105.370003,106.629997,106.629997,10100000,DIS
08/08/2022,108.209999,111.230003,107.900002,109.110001,109.110001,13025900,DIS
09/08/2022,109.220001,109.220001,107.029999,108.129997,108.129997,8776500,DIS
10/08/2022,112.480003,112.669998,109.910004,112.43,112.43,26398700,DIS
11/08/2022,122.209999,123.269997,117.330002,117.690002,117.690002,50375000,DIS
12/08/2022,119,121.610001,118.919998,121.57,121.57,21964800,DIS
15/08/2022,121,125.959999,120.989998,124.260002,124.260002,24628300,DIS
16/08/2022,124.730003,126.480003,123.449997,124.959999,124.959999,14607300,DIS
17/08/2022,123.449997,124.480003,122.57,122.809998,122.809998,9140900,DIS
